File,,Historic and Order(%Of-File),Historic and Order(%Of-Feature),Historic and Order(#Propagations),DarkTheme(%Of-File),DarkTheme(%Of-Feature),DarkTheme(#Propagations),Title Font(%Of-File),Title Font(%Of-Feature),Title Font(#Propagations),Allow Anonymous(%Of-File),Allow Anonymous(%Of-Feature),Allow Anonymous(#Propagations),Account(%Of-File),Account(%Of-Feature),Account(#Propagations),Add Product(%Of-File),Add Product(%Of-Feature),Add Product(#Propagations),accentColor(%Of-File),accentColor(%Of-Feature),accentColor(#Propagations),Product Type(%Of-File),Product Type(%Of-Feature),Product Type(#Propagations),Thymleaf(%Of-File),Thymleaf(%Of-Feature),Thymleaf(#Propagations),Controllers(%Of-File),Controllers(%Of-Feature),Controllers(#Propagations),RestAPI(%Of-File),RestAPI(%Of-Feature),RestAPI(#Propagations),Credit Card Payment(%Of-File),Credit Card Payment(%Of-Feature),Credit Card Payment(#Propagations)
src\main\resources\static\js\produits_script.js,,0,0,0,1.2165450121654502,100,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
src\main\java\fr\haron\groovtrade\controllers\LoginController.java,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,1,0,0,0,0,0,0,0,0,0
src\main\resources\templates\utilisateur.html,,5.123839009287925,33.33333333333333,2,0,0,0,0,0,0,0,0,0,0,0,0,2.4226006191950464,14.285714285714285,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
src\main\java\fr\haron\groovtrade\controllers\APIRestController.java,,21.396934895935406,66.66666666666666,4,0,0,0,0,0,0,0,0,0,0,0,0,17.453847058362403,42.857142857142854,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
src\main\java\fr\haron\groovtrade\controllers\UtilisateurController.java,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.89184448991523,28.57142857142857,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
src\main\java\fr\haron\groovtrade\controllers\ProduitController.java,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.38240574506284,14.285714285714285,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
src\main\java\fr\haron\groovtrade\security\SecurityConfig.java,,0,0,0,0,0,0,0,0,0,6.319200648123144,100,2,35.32271131514988,33.33333333333333,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
src\main\resources\templates\header.html,,0,0,0,0,0,0,0,0,0,0,0,0,15.911222256955298,33.33333333333333,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
src\main\resources\templates\detailsProduit.html,,0,0,0,0,0,0,0,0,0,0,0,0,18.607395751376867,33.33333333333333,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
src\main\resources\templates\checkout.html,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.71264367816092,100,1
src\main\resources\static\css\produits_style.css,,0,0,0,0,0,0,0.4119973632168754,100,1,0,0,0,0,0,0,0,0,0,0.16479894528675015,100,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
src\main\java\fr\haron\groovtrade\dao\ProduitRepository.java,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07326007326007326,100,2,0,0,0,0,0,0,0,0,0,0,0,0
